University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country,keep,comment
Tecnológico de Monterrey (ITESM),Mexico,tecnologico de monterrey (itesm),https://openalex.org/I98461037,Monterrey Institute of Technology and Higher Education,NA,MX,Mexico,TRUE,
"Texas A&M University, College Station",United States,texas aandm university college station,https://openalex.org/I91045830,Texas A&M University,NA,US,United States,TRUE,
Thapar Institute of Engineering and Technology,India,thapar institute of engineering and technology,https://openalex.org/I162030827,Thapar University,NA,IN,India,TRUE,
The Hebrew University of Jerusalem,Israel,the hebrew university of jerusalem,https://openalex.org/I197251160,Hebrew University of Jerusalem,NA,IL,Israel,TRUE,
The University of Edinburgh,United Kingdom,the university of edinburgh,https://openalex.org/I98677209,University of Edinburgh,NA,GB,United Kingdom,TRUE,
The University of Manchester,United Kingdom,the university of manchester,https://openalex.org/I28407311,University of Manchester,NA,GB,United Kingdom,TRUE,
The University of Sheffield,United Kingdom,the university of sheffield,https://openalex.org/I91136226,University of Sheffield,NA,GB,United Kingdom,TRUE,
The University of Tokyo,Japan,the university of tokyo,https://openalex.org/I74801974,University of Tokyo,NA,JP,Japan,TRUE,
The University of Warwick,United Kingdom,the university of warwick,https://openalex.org/I39555362,University of Warwick,NA,GB,United Kingdom,TRUE,
Ton Duc Thang University,Viet Nam,ton duc thang university,https://openalex.org/I141445968,Ton Duc Thang University,"[""Ton Duc Thang Private Technology University""]",VN,Vietnam,TRUE,
"Trinity College Dublin, The University of Dublin",Ireland,trinity college dublin the university of dublin,https://openalex.org/I205274468,Trinity College Dublin,NA,IE,Ireland,TRUE,
Ulm University,Germany,ulm university,https://openalex.org/I196349391,University of Ulm,NA,DE,Germany,TRUE,
Universidad Autónoma de Madrid,Spain,universidad autonoma de madrid,https://openalex.org/I63634437,Autonomous University of Madrid,NA,ES,Spain,TRUE,
Universidad de Almería,Spain,universidad de almeria,https://openalex.org/I52354020,University of Almería,NA,ES,Spain,TRUE,
Universidad de Concepción,Chile,universidad de concepcion,https://openalex.org/I172787465,University of Concepción,NA,CL,Chile,TRUE,
Universidad de La Laguna,Spain,universidad de la laguna,https://openalex.org/I158438070,University of La Laguna,NA,ES,Spain,TRUE,
Universidad de la República,Uruguay,universidad de la republica,https://openalex.org/I180910786,University of the Republic,NA,UY,Uruguay,TRUE,
Universidad de los Andes,Colombia,universidad de los andes,https://openalex.org/I4210143738,Universidad de Los Andes,[],BO,Bolivia,FALSE,
Universidad Nacional de Colombia,Colombia,universidad nacional de colombia,https://openalex.org/I36243813,National University of Colombia,NA,CO,Colombia,TRUE,
Universidad Nacional de La Plata,Argentina,universidad nacional de la plata,https://openalex.org/I874386039,National University of La Plata,NA,AR,Argentina,TRUE,
Universidade de Brasília,Brazil,universidade de brasilia,https://openalex.org/I150729083,University of Brasília,NA,BR,Brazil,TRUE,
Universidade de Lisboa,Portugal,universidade de lisboa,https://openalex.org/I141596103,University of Lisbon,NA,PT,Portugal,TRUE,
Universidade Estadual Paulista,Brazil,universidade estadual paulista,https://openalex.org/I879563668,São Paulo State University,NA,BR,Brazil,TRUE,
Universidade Federal da Bahia,Brazil,universidade federal da bahia,https://openalex.org/I126158947,Federal University of Bahia,NA,BR,Brazil,TRUE,
Universidade Federal de São Paulo,Brazil,universidade federal de sao paulo,https://openalex.org/I88273585,Federal University of São Paulo,NA,BR,Brazil,TRUE,
Universidade Federal do Paraná,Brazil,universidade federal do parana,https://openalex.org/I52418104,Federal University of Paraná,NA,BR,Brazil,TRUE,
Universidade Federal do Rio de Janeiro,Brazil,universidade federal do rio de janeiro,https://openalex.org/I122140584,Federal University of Rio de Janeiro,NA,BR,Brazil,TRUE,
Universidade Federal Fluminense,Brazil,universidade federal fluminense,https://openalex.org/I161127581,Fluminense Federal University,NA,BR,Brazil,TRUE,
Università Cattolica del Sacro Cuore,Italy,universita cattolica del sacro cuore,https://openalex.org/I103320735,Catholic University of the Sacred Heart,NA,IT,Italy,TRUE,
Università del Salento,Italy,universita del salento,https://openalex.org/I142910587,University of Salento,NA,IT,Italy,TRUE,
Università Politecnica delle Marche,Italy,universita politecnica delle marche,https://openalex.org/I122534668,Marche Polytechnic University,NA,IT,Italy,TRUE,
Universitat Autònoma de Barcelona,Spain,universitat autonoma de barcelona,https://openalex.org/I123044942,Autonomous University of Barcelona,NA,ES,Spain,TRUE,
Universitat Jaume I,Spain,universitat jaume i,https://openalex.org/I10902133,Jaume I University,NA,ES,Spain,TRUE,
"Universitat Politècnica de Catalunya, BarcelonaTech",Spain,universitat politecnica de catalunya barcelonatech,https://openalex.org/I9617848,Universitat Politècnica de Catalunya,NA,ES,Spain,TRUE,
